Exchange,Base,Quote,Time,Open,High,Low,Close,Quote Volume,Base Volume
KRAKEN,BTC,USD,2022-12-23 05:00,16837.7,16846,16829.5,16835.4,133088.1036,7.90418004
KRAKEN,BTC,USD,2022-12-23 05:15,16835.5,16835.5,16827.5,16829.6,77908.44175,4.62828845
KRAKEN,BTC,USD,2022-12-23 05:30,16829.6,16830.1,16817.2,16821.8,15185.44684,0.90258301
KRAKEN,BTC,USD,2022-12-23 05:45,16821.9,16833.6,16821.1,16822.5,19631.88184,1.1667801
KRAKEN,BTC,USD,2022-12-23 06:00,16822.6,16831.4,16822.5,16822.5,83835.22575,4.98299071
KRAKEN,BTC,USD,2022-12-23 06:15,16822.5,16822.6,16802.6,16814,108737.0588,6.46875196
KRAKEN,BTC,USD,2022-12-23 06:30,16813.8,16848.3,16813.8,16847.3,376171.1711,22.355551
KRAKEN,BTC,USD,2022-12-23 06:45,16847.4,16847.4,16835.3,16841.2,320741.3506,19.04188107
KRAKEN,BTC,USD,2022-12-23 07:00,16841.2,16851.3,16834.9,16846.7,145991.4519,8.66633825
KRAKEN,BTC,USD,2022-12-23 07:15,16846.7,16853.7,16842.3,16853,78782.187,4.67655916
KRAKEN,BTC,USD,2022-12-23 07:30,16853.1,16853.1,16843.6,16845.2,403384.2948,23.93646182
KRAKEN,BTC,USD,2022-12-23 07:45,16843.7,16854.1,16843.6,16853.6,31215.72452,1.85252239
KRAKEN,BTC,USD,2022-12-23 08:00,16847.5,16857.2,16820.1,16831.4,480638.1138,28.55354694
KRAKEN,BTC,USD,2022-12-23 08:15,16831.3,16833,16820,16829.6,44074.88534,2.61893087
KRAKEN,BTC,USD,2022-12-23 08:30,16829.3,16833,16826.7,16832.9,37827.31017,2.24736655
KRAKEN,BTC,USD,2022-12-23 08:45,16833,16833,16828.1,16832.8,158989.8574,9.44533281
KRAKEN,BTC,USD,2022-12-23 09:00,16832.9,16833,16832.9,16832.9,32242.41415,1.91542955
KRAKEN,BTC,USD,2022-12-23 09:15,16833,16833,16817.5,16824.6,74684.82991,4.43845481
KRAKEN,BTC,USD,2022-12-23 09:30,16825,16843.1,16823.4,16838.1,205693.5058,12.21943151
KRAKEN,BTC,USD,2022-12-23 09:45,16838.6,16841.5,16825.9,16839.2,966283.7378,57.39586788
KRAKEN,BTC,USD,2022-12-23 10:00,16839.2,16850.6,16833.5,16850.6,662775.9851,39.35354378
KRAKEN,BTC,USD,2022-12-23 10:15,16850.6,16870.8,16850.6,16857.7,474284.285,28.12889206
